ï»¿BinaTesisatNo;Daire;Dukkan;Isinma;katSayisi;Alan(m²);Kapasite(m³/h)
1;5;0;BÄ°REYSEL;5;520;14
2;12;3;BÄ°REYSEL;15;1500;33,9
3;1;1;BÄ°REYSEL;1;200;7
4;20;2;BÄ°REYSEL;11;2400;47
5;1;1;BÄ°REYSEL;1;200;7
6;5;2;BÄ°REYSEL;7;640;18,5
7;10;1;BÄ°REYSEL;11;1060;26,5
8;1;1;BÄ°REYSEL;1;220;7
9;5;2;BÄ°REYSEL;7;720;18,5
10;2;4;MERKEZÄ°;3;620;16,5
11;5;2;BÄ°REYSEL;7;720;18,5
12;1;2;BÄ°REYSEL;3;280;9,5
13;3;2;BÄ°REYSEL;5;540;14
14;3;3;BÄ°REYSEL;3;640;16,5
15;5;2;BÄ°REYSEL;7;700;18,5
16;5;2;BÄ°REYSEL;7;740;18,5
17;5;6;BÄ°REYSEL;11;1180;26,5
18;17;2;BÄ°REYSEL;19;2020;42
19;7;1;BÄ°REYSEL;4;820;20,5
20;12;2;MERKEZÄ°;7;1300;32
21;4;1;BÄ°REYSEL;5;460;14
22;5;2;BÄ°REYSEL;7;760;18,5
23;5;2;MERKEZÄ°;7;640;18,5
24;8;2;MERKEZÄ°;5;1080;24,5
25;2;1;BÄ°REYSEL;3;320;9,5
26;5;2;BÄ°REYSEL;7;720;18,5
27;3;3;BÄ°REYSEL;3;560;16,5
28;13;2;BÄ°REYSEL;15;1560;33,9
29;3;2;BÄ°REYSEL;5;520;14
30;0;2;BÄ°REYSEL;1;180;7
31;2;2;BÄ°REYSEL;2;400;11,8
32;1;6;MERKEZÄ°;7;700;18,5
33;4;1;BÄ°REYSEL;5;480;14
34;2;2;MERKEZÄ°;2;360;11,8
35;3;2;BÄ°REYSEL;5;480;14
36;2;1;BÄ°REYSEL;3;280;9,5
37;2;2;BÄ°REYSEL;2;380;11,8
38;4;6;BÄ°REYSEL;5;1000;24,5
39;3;2;BÄ°REYSEL;5;540;14
40;2;2;MERKEZÄ°;2;420;11,8
41;1;2;MERKEZÄ°;3;300;9,5
42;2;1;BÄ°REYSEL;3;300;9,5
43;4;1;BÄ°REYSEL;5;480;14
44;3;2;MERKEZÄ°;5;460;14
45;8;2;MERKEZÄ°;5;900;24,5
46;5;1;BÄ°REYSEL;3;620;16,5
47;3;1;BÄ°REYSEL;2;360;11,8
48;3;1;BÄ°REYSEL;2;420;11,8
49;2;2;BÄ°REYSEL;2;380;11,8
50;1;0;BÄ°REYSEL;1;100;3,5
51;14;1;BÄ°REYSEL;15;1600;33,9
52;4;1;BÄ°REYSEL;5;500;14
53;2;3;MERKEZÄ°;5;540;14
54;3;2;BÄ°REYSEL;5;520;14
55;3;1;BÄ°REYSEL;2;360;11,8
56;3;2;BÄ°REYSEL;5;500;14
57;1;2;BÄ°REYSEL;3;320;9,5
58;5;1;BÄ°REYSEL;3;600;16,5
59;3;2;MERKEZÄ°;5;460;14
60;2;1;BÄ°REYSEL;3;320;9,5
61;4;1;MERKEZÄ°;5;480;14
62;0;1;BÄ°REYSEL;1;100;3,5
63;4;2;BÄ°REYSEL;3;560;16,5
64;4;2;BÄ°REYSEL;3;580;16,5
65;14;2;MERKEZÄ°;8;1560;35,9
66;0;1;BÄ°REYSEL;1;100;3,5
67;2;2;BÄ°REYSEL;2;360;11,8
68;0;3;BÄ°REYSEL;3;280;9,5
69;5;1;MERKEZÄ°;3;600;16,5
70;1;1;BÄ°REYSEL;1;200;7
71;5;2;BÄ°REYSEL;7;700;18,5
72;3;2;BÄ°REYSEL;5;500;14
73;1;1;BÄ°REYSEL;1;220;7
74;5;1;BÄ°REYSEL;3;660;16,5
75;12;2;BÄ°REYSEL;7;1480;32
76;5;2;BÄ°REYSEL;7;640;18,5
77;4;4;BÄ°REYSEL;4;720;20,5
78;4;1;BÄ°REYSEL;5;500;14
79;3;4;BÄ°REYSEL;7;700;18,5
80;4;2;BÄ°REYSEL;3;540;16,5
81;3;2;BÄ°REYSEL;5;480;14
82;3;1;BÄ°REYSEL;2;420;11,8
83;1;2;BÄ°REYSEL;3;300;9,5
84;15;2;BÄ°REYSEL;17;1780;38
85;2;1;MERKEZÄ°;3;280;9,5
86;7;2;BÄ°REYSEL;9;880;22,5
87;1;1;BÄ°REYSEL;1;200;7
88;3;1;BÄ°REYSEL;2;400;11,8
89;3;1;BÄ°REYSEL;2;380;11,8
90;5;4;MERKEZÄ°;9;860;22,5
91;3;1;MERKEZÄ°;2;440;11,8
92;1;0;MERKEZÄ°;1;100;3,5
93;1;2;BÄ°REYSEL;3;300;9,5
94;4;1;MERKEZÄ°;5;520;14
95;8;2;MERKEZÄ°;5;940;24,5
96;2;2;MERKEZÄ°;2;420;11,8
97;5;6;MERKEZÄ°;11;1200;26,5
98;5;2;BÄ°REYSEL;7;660;18,5
99;3;5;BÄ°REYSEL;4;780;20,5
100;5;1;BÄ°REYSEL;3;560;16,5
101;2;0;BÄ°REYSEL;1;200;7
